NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
JOY PLASTIC RULER,OS,PC,, ₱ 4.15 , ₱ 5.40 ,30.12%,,,
JOY SAPLER NO. 10,OS,PC,, ₱ 40.00 , ₱ 54.00 ,35.00%,,,
"JOY SCISSOR 8""",OS,PC,, ₱ 26.00 , ₱ 35.10 ,35.00%,,,
JOY STAPLER WITH REMOVER,OS,PC,, ₱ 77.00 , ₱ 103.95 ,35.00%,,,
JOY TICKET PUNCH,OS,PC,, ₱ 28.00 , ₱ 37.80 ,35.00%,,,
KAMI BATHROOM TISSUE 11+1 PER 12X12,CM,PACK,, ₱ 105.00 , ₱ 141.75 ,35.00%,,,
KING HEAVY DUTY TAPE DISPENSER,OS,PC,, ₱ 80.00 , ₱ 108.00 ,35.00%,,,
KRAFT PAPER ROLL 36IN X 30M,CO,ROLL,SHOPEE, ₱ 470.00 , ₱ 634.50 ,35.00%,,,
L-TYPE CLEAR FOLDER A4 12 PIECES PER PACK,OS,PACK,, ₱ 48.00 , ₱ 64.80 ,35.00%,,,
L-TYPE CLEAR FOLDER LONG 12 PIECES PER PACK,OS,PACK,, ₱ 53.00 , ₱ 71.55 ,35.00%,,,
L-TYPE CLEAR FOLDER SHORT 12 PIECES PER PACK,OS, PACK ,, ₱ 48.00 , ₱ 63.84 ,33.00%,,,
L-TYPE PLASTIC FOLDER A4,OS,PACK,ONLINE, ₱ 36.40 , ₱ 49.14 ,35.00%,,,
L-TYPE SHORT/A4,OS, PACK ,, ₱ 48.00 , ₱ 63.84 ,33.00%,,,
"LABELING TAPE (GREEN, YELLOW)",OS,ROLL,, ₱ 13.00 , ₱ 17.55 ,35.00%,,,
LABORATORY GOWN WITH EMBROIDERED COMPANY LOGO,CU,PC,, ₱ 451.00 , ₱ 700.00 ,55.21%,,,
